County,District,School,Assistance Status
Santa Clara,Campbell Union,Village,General Assistance
Santa Clara,Campbell Union,Campbell School of Innovation,General Assistance
Santa Clara,Campbell Union,Monroe Middle,General Assistance
Santa Clara,Campbell Union,Rolling Hills Middle,General Assistance
Santa Clara,Campbell Union,Rosemary,General Assistance
Orange,Capistrano Unified,Vista del Mar Middle,General Assistance
Orange,Capistrano Unified,Ladera Ranch Middle,General Assistance
Orange,Capistrano Unified,California Connections Academy Southern California,CSI Grad
Orange,Capistrano Unified,Arroyo Vista Middle,General Assistance
Orange,Capistrano Unified,Capistrano Home/Virtual,General Assistance
Orange,Capistrano Unified,Carl Hankey Middle,General Assistance
Orange,Capistrano Unified,Community Roots Academy,General Assistance
Orange,Capistrano Unified,California Preparatory Academy,General Assistance
Orange,Capistrano Unified,Oxford Preparatory Academy - South Orange County,General Assistance
Orange,Capistrano Unified,Esencia,General Assistance
Orange,Capistrano Unified,Bridges Community Day,General Assistance
Orange,Capistrano Unified,Marco Forster Middle,General Assistance
Orange,Capistrano Unified,Niguel Hills Middle,General Assistance
Orange,Capistrano Unified,Shorecliffs Middle,General Assistance
Orange,Capistrano Unified,Newhart Middle,General Assistance
Orange,Capistrano Unified,Aliso Viejo Middle,General Assistance
Orange,Capistrano Unified,Bernice Ayer Middle,General Assistance
Orange,Capistrano Unified,Don Juan Avila Middle,General Assistance
Orange,Capistrano Unified,Las Flores Middle,General Assistance
Orange,Capistrano Unified,Journey,General Assistance
Orange,Capistrano Unified,Richard Henry Dana Exceptional Needs,ATSI
Orange,Capistrano Unified,Opportunities for Learning - Capistrano,CSI Grad
Los Angeles,Castaic Union,Castaic Middle,General Assistance
Los Angeles,Centinela Valley Union High,Centinela Valley Independent Study,General Assistance
Los Angeles,Centinela Valley Union High,Family First Charter,CSI Grad
Los Angeles,Centinela Valley Union High,New Opportunities Charter,CSI Grad
Los Angeles,Charter Oak Unified,Oak Knoll Alternative,General Assistance
Los Angeles,Charter Oak Unified,Bridges Community Day,General Assistance
Los Angeles,Charter Oak Unified,Royal Oak Middle,General Assistance
Los Angeles,Claremont Unified,Community Day,General Assistance
Los Angeles,Claremont Unified,Danbury Special Education,ATSI
Los Angeles,Claremont Unified,El Roble Intermediate,General Assistance
Los Angeles,Compton Unified,Lifeline Education Charter,General Assistance
Los Angeles,Compton Unified,Barack Obama Charter,ATSI
Los Angeles,Compton Unified,Today's Fresh Start-Compton,ATSI
Los Angeles,Compton Unified,ISANA Achernar Academy,General Assistance
Los Angeles,Compton Unified,Ingenium Clarion Charter Middle,General Assistance
Los Angeles,Compton Unified,KIPP Compton Community,General Assistance
Los Angeles,Compton Unified,Animo Compton Charter,General Assistance
Los Angeles,Compton Unified,Thurgood Marshall,CSI Grad
Los Angeles,Compton Unified,Bunche Middle,General Assistance
Los Angeles,Compton Unified,Enterprise Middle,General Assistance
Los Angeles,Compton Unified,Whaley Middle,General Assistance
Los Angeles,Compton Unified,Willowbrook Middle,General Assistance
Los Angeles,Compton Unified,Roosevelt Middle,General Assistance
Los Angeles,Compton Unified,Walton Middle,General Assistance
Los Angeles,Compton Unified,Davis Middle,CSI Low Perform
Los Angeles,Compton Unified,Compton Community Day Middle,General Assistance
Los Angeles,Compton Unified,"Clinton, William Jefferson",General Assistance
Contra Costa,Contra Costa County Office of Education,Far East County Programs,General Assistance
Contra Costa,Contra Costa County Office of Education,Central County Special Education Programs,General Assistance
Contra Costa,Contra Costa County Office of Education,Making Waves Academy,General Assistance
Contra Costa,Contra Costa County Office of Education,Heritage CCCOE Special Education Programs,ATSI
Contra Costa,Contra Costa County Office of Education,Mt. McKinley,General Assistance
Contra Costa,Contra Costa County Office of Education,Caliber: Beta Academy,General Assistance
Contra Costa,Contra Costa County Office of Education,Summit Public School K2,ATSI
Contra Costa,Contra Costa County Office of Education,Contra Costa School of Performing Arts,General Assistance
Contra Costa,Contra Costa County Office of Education,Invictus Academy of Richmond,General Assistance
Contra Costa,Contra Costa County Office of Education,Golden Gate Community,CSI Grad
Contra Costa,Contra Costa County Office of Education,Floyd I. Marchus,ATSI
Los Angeles,Covina-Valley Unified,Las Palmas Middle,General Assistance
Los Angeles,Covina-Valley Unified,Sierra Vista Middle,General Assistance
Los Angeles,Covina-Valley Unified,Traweek Middle,General Assistance
Los Angeles,Culver City Unified,Culver City Unified School District iAcademy,General Assistance
Los Angeles,Culver City Unified,Culver City Middle,General Assistance
Santa Clara,Cupertino Union,Sam H. Lawson Middle,General Assistance
Santa Clara,Cupertino Union,Cupertino Middle,General Assistance
Santa Clara,Cupertino Union,Joaquin Miller Middle,General Assistance
Santa Clara,Cupertino Union,John F. Kennedy Middle,General Assistance
Santa Clara,Cupertino Union,Warren E. Hyde Middle,General Assistance
Solano,Dixon Unified,Dixon Community Day,General Assistance
Solano,Dixon Unified,Dixon Montessori Charter,General Assistance
Solano,Dixon Unified,C. A. Jacobs Intermediate,ATSI
Los Angeles,Downey Unified,Woodruff Academy,General Assistance
Los Angeles,Downey Unified,Doty (Wendy Lopour) Middle,General Assistance
Los Angeles,Downey Unified,Griffiths (Gordon) Middle,General Assistance
Los Angeles,Downey Unified,Sussman (Edward A.) Middle,General Assistance
Los Angeles,Downey Unified,Stauffer (Mary R.) Middle,General Assistance
Los Angeles,Duarte Unified,Opportunities for Learning - Duarte,CSI Grad
Los Angeles,Duarte Unified,California School of the Arts - San Gabriel Valley,General Assistance
Los Angeles,Duarte Unified,Andres Duarte Arts Academy (PK-8),General Assistance
Los Angeles,Duarte Unified,Beardslee Dual Language Immersion Academy (PK-8),General Assistance
Los Angeles,Duarte Unified,Maxwell Academy (PK-8),General Assistance
Los Angeles,Duarte Unified,Royal Oaks STEAM Academy (K-8),General Assistance
Los Angeles,Duarte Unified,Valley View Academy of Technology and Creative Learning (TK-6),General Assistance
Santa Clara,East Side Union High,"Escuela Popular/Center for Training and Careers, Family Learning",General Assistance
Santa Clara,East Side Union High,KIPP San Jose Collegiate,General Assistance
Santa Clara,East Side Union High,Summit Public School: Rainier,General Assistance
Santa Clara,East Side Union High,Luis Valdez Leadership Academy,General Assistance
Santa Clara,East Side Union High,B. Roberto Cruz Leadership Academy,General Assistance
Santa Clara,East Side Union High,Latino College Preparatory Academy,General Assistance
Santa Clara,East Side Union High,San Jose Conservation Corps Charter,CSI Grad
Santa Clara,East Side Union High,Escuela Popular Accelerated Family Learning,General Assistance
Los Angeles,East Whittier City Elementary,East Whittier Middle,General Assistance
Los Angeles,East Whittier City Elementary,Granada Middle,General Assistance
Los Angeles,East Whittier City Elementary,Hillview Middle,General Assistance
Los Angeles,Eastside Union Elementary,Eastside Academy/Transitional Learning Center,General Assistance
Los Angeles,Eastside Union Elementary,Gifford C. Cole Middle,ATSI
Los Angeles,El Rancho Unified,Ellen Ochoa Prep Academy,General Assistance
Los Angeles,El Rancho Unified,Ruben Salazar Continuation,General Assistance
Los Angeles,El Rancho Unified,Birney Tech Academy,General Assistance
Los Angeles,El Rancho Unified,Magee Academy of Arts & Sciences,General Assistance
Los Angeles,El Rancho Unified,South Ranchito Dual Language Academy,General Assistance
Los Angeles,El Rancho Unified,Valencia Academy of the Arts,General Assistance
Los Angeles,El Rancho Unified,STEAM Academy @ Burke,General Assistance
Los Angeles,El Rancho Unified,North Park Academy of the Arts,General Assistance
Los Angeles,El Rancho Unified,Rivera Middle,General Assistance
Los Angeles,El Segundo Unified,El Segundo Middle,General Assistance
Santa Clara,Evergreen Elementary,Quimby Oak Middle,General Assistance
Santa Clara,Evergreen Elementary,George V. LeyVa Intermediate,General Assistance
Santa Clara,Evergreen Elementary,Chaboya Middle,General Assistance
Solano,Fairfield-Suisun Unified,Weir Preparatory Academy,ATSI
Solano,Fairfield-Suisun Unified,H. Glenn Richardson,General Assistance
Solano,Fairfield-Suisun Unified,Matt Garcia Career and College Academy,General Assistance
Solano,Fairfield-Suisun Unified,Public Safety Academy,General Assistance
Solano,Fairfield-Suisun Unified,Dover Academy for International Studies,ATSI
Solano,Fairfield-Suisun Unified,Crystal Middle,General Assistance
Solano,Fairfield-Suisun Unified,E. Ruth Sheldon Academy of Innovative Learning,ATSI
Solano,Fairfield-Suisun Unified,Green Valley Middle,General Assistance
Solano,Fairfield-Suisun Unified,Tolenas Academy of Music and Media,ATSI
Solano,Fairfield-Suisun Unified,Grange Middle,ATSI
Solano,Fairfield-Suisun Unified,Oakbrook Academy of the Arts,General Assistance
Orange,Fountain Valley Elementary,Fulton (Harry C.) Middle,General Assistance
Orange,Fountain Valley Elementary,Talbert (Samuel E.) Middle,General Assistance
Orange,Fountain Valley Elementary,Masuda (Kazuo) Middle,General Assistance
Santa Clara,Franklin-McKinley Elementary,Voices College-Bound Language Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,Alpha: Cornerstone Academy Preparatory,General Assistance
Santa Clara,Franklin-McKinley Elementary,College Connection Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,Rocketship Spark Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,KIPP Heritage Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,ACE Esperanza Middle,General Assistance
Santa Clara,Franklin-McKinley Elementary,Bridges Academy,ATSI
Santa Clara,Franklin-McKinley Elementary,Los Arboles Literacy and Technology Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,Lairon College Preparatory Academy,General Assistance
Santa Clara,Franklin-McKinley Elementary,Sylvandale Middle,ATSI
Santa Clara,Fremont Union High,Community Day,General Assistance
Orange,Garden Grove Unified,Alamitos Intermediate,General Assistance
Orange,Garden Grove Unified,Donald S. Jordan Intermediate,General Assistance
Orange,Garden Grove Unified,Hilton D. Bell Intermediate,General Assistance
Orange,Garden Grove Unified,Izaak Walton Intermediate,General Assistance
Orange,Garden Grove Unified,James Irvine Intermediate,General Assistance
Orange,Garden Grove Unified,Dr. Walter C. Ralston Intermediate,General Assistance
