County,District,School,Assistance Status
Los Angeles,Eastside Union Elementary,Gifford C. Cole Middle,ATSI
Los Angeles,El Rancho Unified,Ellen Ochoa Prep Academy,General Assistance
Los Angeles,El Rancho Unified,Ruben Salazar Continuation,General Assistance
Los Angeles,El Rancho Unified,Birney Tech Academy,General Assistance
Los Angeles,El Rancho Unified,Magee Academy of Arts & Sciences,General Assistance
Los Angeles,El Rancho Unified,South Ranchito Dual Language Academy,General Assistance
Los Angeles,El Rancho Unified,Valencia Academy of the Arts,General Assistance
Los Angeles,El Rancho Unified,STEAM Academy @ Burke,General Assistance
Los Angeles,El Rancho Unified,North Park Academy of the Arts,General Assistance
Los Angeles,El Rancho Unified,Rivera Middle,General Assistance
Los Angeles,El Segundo Unified,El Segundo Middle,General Assistance
Los Angeles,Garvey Elementary,Duff Language Magnet Academy,General Assistance
Los Angeles,Garvey Elementary,Garvey (Richard) Intermediate,General Assistance
Los Angeles,Garvey Elementary,Temple (Roger W.) Intermediate,General Assistance
Los Angeles,Glendale Unified,Verdugo Academy,General Assistance
Los Angeles,Glendale Unified,Jewel City Community Day,General Assistance
Los Angeles,Glendale Unified,Theodore Roosevelt Middle,General Assistance
Los Angeles,Glendale Unified,Eleanor J. Toll Middle,General Assistance
Los Angeles,Glendale Unified,Rosemont Middle,General Assistance
Los Angeles,Glendale Unified,Woodrow Wilson Middle,General Assistance
Los Angeles,Glendale Unified,College View,General Assistance
Los Angeles,Glendora Unified,Goddard Middle,General Assistance
Los Angeles,Glendora Unified,Sandburg Middle,General Assistance
Los Angeles,Gorman Joint,Gorman Learning Center,General Assistance
Los Angeles,Hacienda la Puente Unified,Cedarlane Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Palm Canyon,General Assistance
Los Angeles,Hacienda la Puente Unified,Valley Community Day,General Assistance
Los Angeles,Hacienda la Puente Unified,Baldwin Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Fairgrove Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Lassalette,General Assistance
Los Angeles,Hacienda la Puente Unified,Los Robles Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,Mesa Robles,General Assistance
Los Angeles,Hacienda la Puente Unified,Newton Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Orange Grove Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Sierra Vista Middle,General Assistance
Los Angeles,Hacienda la Puente Unified,Sparks Middle,ATSI
Los Angeles,Hacienda la Puente Unified,Temple Academy,General Assistance
Los Angeles,Hacienda la Puente Unified,"Grandview, College Preparatory Academy",General Assistance
Los Angeles,Hacienda la Puente Unified,Valinda School of Academics,General Assistance
